! #lon(deg), lat(deg), depth(km), dVs(%), dVp(%), drho(%)
113.439 -4.977 5371.000 3.000 0.000 0.000
113.439 -4.977 5381.000 3.000 0.000 0.000
113.439 -4.977 5391.000 3.000 0.000 0.000
113.439 -4.977 5401.000 3.000 0.000 0.000
113.439 -4.977 5411.000 3.000 0.000 0.000
113.439 -4.977 5421.000 3.000 0.000 0.000
113.439 -4.977 5431.000 3.000 0.000 0.000
113.439 -4.977 5441.000 3.000 0.000 0.000
113.439 -4.977 5451.000 3.000 0.000 0.000
113.439 -4.977 5461.000 3.000 0.000 0.000
113.439 -4.977 5471.000 3.000 0.000 0.000
114.188 -4.977 5371.000 3.000 0.000 0.000
114.188 -4.977 5381.000 3.000 0.000 0.000
114.188 -4.977 5391.000 3.000 0.000 0.000
114.188 -4.977 5401.000 3.000 0.000 0.000
114.188 -4.977 5411.000 3.000 0.000 0.000
114.188 -4.977 5421.000 3.000 0.000 0.000
114.188 -4.977 5431.000 3.000 0.000 0.000
114.188 -4.977 5441.000 3.000 0.000 0.000
114.188 -4.977 5451.000 3.000 0.000 0.000
114.188 -4.977 5461.000 3.000 0.000 0.000
114.188 -4.977 5471.000 3.000 0.000 0.000
114.936 -4.977 5371.000 3.000 0.000 0.000
114.936 -4.977 5381.000 3.000 0.000 0.000
114.936 -4.977 5391.000 3.000 0.000 0.000
114.936 -4.977 5401.000 3.000 0.000 0.000
114.936 -4.977 5411.000 3.000 0.000 0.000
114.936 -4.977 5421.000 3.000 0.000 0.000
114.936 -4.977 5431.000 3.000 0.000 0.000
114.936 -4.977 5441.000 3.000 0.000 0.000
114.936 -4.977 5451.000 3.000 0.000 0.000
114.936 -4.977 5461.000 3.000 0.000 0.000
114.936 -4.977 5471.000 3.000 0.000 0.000
115.684 -4.977 5371.000 3.000 0.000 0.000
115.684 -4.977 5381.000 3.000 0.000 0.000
115.684 -4.977 5391.000 3.000 0.000 0.000
115.684 -4.977 5401.000 3.000 0.000 0.000
115.684 -4.977 5411.000 3.000 0.000 0.000
115.684 -4.977 5421.000 3.000 0.000 0.000
115.684 -4.977 5431.000 3.000 0.000 0.000
115.684 -4.977 5441.000 3.000 0.000 0.000
115.684 -4.977 5451.000 3.000 0.000 0.000
115.684 -4.977 5461.000 3.000 0.000 0.000
115.684 -4.977 5471.000 3.000 0.000 0.000
107.454 -4.419 5371.000 3.000 0.000 0.000
107.454 -4.419 5381.000 3.000 0.000 0.000
107.454 -4.419 5391.000 3.000 0.000 0.000
107.454 -4.419 5401.000 3.000 0.000 0.000
107.454 -4.419 5411.000 3.000 0.000 0.000
107.454 -4.419 5421.000 3.000 0.000 0.000
107.454 -4.419 5431.000 3.000 0.000 0.000
107.454 -4.419 5441.000 3.000 0.000 0.000
107.454 -4.419 5451.000 3.000 0.000 0.000
107.454 -4.419 5461.000 3.000 0.000 0.000
107.454 -4.419 5471.000 3.000 0.000 0.000
108.202 -4.419 5371.000 3.000 0.000 0.000
108.202 -4.419 5381.000 3.000 0.000 0.000
108.202 -4.419 5391.000 3.000 0.000 0.000
108.202 -4.419 5401.000 3.000 0.000 0.000
108.202 -4.419 5411.000 3.000 0.000 0.000
108.202 -4.419 5421.000 3.000 0.000 0.000
108.202 -4.419 5431.000 3.000 0.000 0.000
108.202 -4.419 5441.000 3.000 0.000 0.000
108.202 -4.419 5451.000 3.000 0.000 0.000
108.202 -4.419 5461.000 3.000 0.000 0.000
108.202 -4.419 5471.000 3.000 0.000 0.000
108.950 -4.419 5371.000 3.000 0.000 0.000
108.950 -4.419 5381.000 3.000 0.000 0.000
108.950 -4.419 5391.000 3.000 0.000 0.000
108.950 -4.419 5401.000 3.000 0.000 0.000
108.950 -4.419 5411.000 3.000 0.000 0.000
