! #lon(deg), lat(deg), depth(km), dVs(%), dVp(%), drho(%)
117.727 -5.015 5171.000 4.000 0.000 0.000
117.727 -5.015 5181.000 4.000 0.000 0.000
117.727 -5.015 5191.000 4.000 0.000 0.000
117.727 -5.015 5201.000 4.000 0.000 0.000
117.727 -5.015 5211.000 4.000 0.000 0.000
117.727 -5.015 5221.000 4.000 0.000 0.000
117.727 -5.015 5231.000 4.000 0.000 0.000
117.727 -5.015 5241.000 4.000 0.000 0.000
117.727 -5.015 5251.000 4.000 0.000 0.000
117.727 -5.015 5261.000 4.000 0.000 0.000
117.727 -5.015 5271.000 4.000 0.000 0.000
117.727 -5.015 5281.000 4.000 0.000 0.000
117.727 -5.015 5291.000 4.000 0.000 0.000
117.727 -5.015 5301.000 4.000 0.000 0.000
117.727 -5.015 5311.000 4.000 0.000 0.000
117.727 -5.015 5321.000 4.000 0.000 0.000
117.727 -5.015 5331.000 4.000 0.000 0.000
117.727 -5.015 5341.000 4.000 0.000 0.000
117.727 -5.015 5351.000 4.000 0.000 0.000
117.727 -5.015 5361.000 4.000 0.000 0.000
117.727 -5.015 5371.000 4.000 0.000 0.000
118.524 -5.015 5171.000 4.000 0.000 0.000
118.524 -5.015 5181.000 4.000 0.000 0.000
118.524 -5.015 5191.000 4.000 0.000 0.000
118.524 -5.015 5201.000 4.000 0.000 0.000
118.524 -5.015 5211.000 4.000 0.000 0.000
118.524 -5.015 5221.000 4.000 0.000 0.000
118.524 -5.015 5231.000 4.000 0.000 0.000
118.524 -5.015 5241.000 4.000 0.000 0.000
118.524 -5.015 5251.000 4.000 0.000 0.000
118.524 -5.015 5261.000 4.000 0.000 0.000
118.524 -5.015 5271.000 4.000 0.000 0.000
118.524 -5.015 5281.000 4.000 0.000 0.000
118.524 -5.015 5291.000 4.000 0.000 0.000
118.524 -5.015 5301.000 4.000 0.000 0.000
118.524 -5.015 5311.000 4.000 0.000 0.000
118.524 -5.015 5321.000 4.000 0.000 0.000
118.524 -5.015 5331.000 4.000 0.000 0.000
118.524 -5.015 5341.000 4.000 0.000 0.000
118.524 -5.015 5351.000 4.000 0.000 0.000
118.524 -5.015 5361.000 4.000 0.000 0.000
118.524 -5.015 5371.000 4.000 0.000 0.000
119.322 -5.015 5171.000 4.000 0.000 0.000
119.322 -5.015 5181.000 4.000 0.000 0.000
119.322 -5.015 5191.000 4.000 0.000 0.000
119.322 -5.015 5201.000 4.000 0.000 0.000
119.322 -5.015 5211.000 4.000 0.000 0.000
119.322 -5.015 5221.000 4.000 0.000 0.000
119.322 -5.015 5231.000 4.000 0.000 0.000
119.322 -5.015 5241.000 4.000 0.000 0.000
119.322 -5.015 5251.000 4.000 0.000 0.000
119.322 -5.015 5261.000 4.000 0.000 0.000
119.322 -5.015 5271.000 4.000 0.000 0.000
119.322 -5.015 5281.000 4.000 0.000 0.000
119.322 -5.015 5291.000 4.000 0.000 0.000
119.322 -5.015 5301.000 4.000 0.000 0.000
119.322 -5.015 5311.000 4.000 0.000 0.000
119.322 -5.015 5321.000 4.000 0.000 0.000
119.322 -5.015 5331.000 4.000 0.000 0.000
119.322 -5.015 5341.000 4.000 0.000 0.000
119.322 -5.015 5351.000 4.000 0.000 0.000
119.322 -5.015 5361.000 4.000 0.000 0.000
119.322 -5.015 5371.000 4.000 0.000 0.000
115.336 -4.381 5171.000 4.000 0.000 0.000
115.336 -4.381 5181.000 4.000 0.000 0.000
115.336 -4.381 5191.000 4.000 0.000 0.000
115.336 -4.381 5201.000 4.000 0.000 0.000
115.336 -4.381 5211.000 4.000 0.000 0.000
115.336 -4.381 5221.000 4.000 0.000 0.000
115.336 -4.381 5231.000 4.000 0.000 0.000
115.336 -4.381 5241.000 4.000 0.000 0.000
115.336 -4.381 5251.000 4.000 0.000 0.000
115.336 -4.381 5261.000 4.000 0.000 0.000
115.336 -4.381 5271.000 4.000 0.000 0.000
115.336 -4.381 5281.000 4.000 0.000 0.000
115.336 -4.381 5291.000 4.000 0.000 0.000
115.336 -4.381 5301.000 4.000 0.000 0.000
115.336 -4.381 5311.000 4.000 0.000 0.000
115.336 -4.381 5321.000 4.000 0.000 0.000
115.336 -4.381 5331.000 4.000 0.000 0.000
